Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
nus.edu.sg,100,100,100,100,A+,
google.com.sg,100,80,100,100,A+,
ntu.edu.sg,100,90,100,70,A,
businesstimes.com.sg,100,90,100,70,A,
blogspot.sg,100,80,100,100,A+,
tripadvisor.com.sg,100,100,100,100,A+,
mothership.sg,100,80,100,100,A+,
smu.edu.sg,100,100,100,100,A+,
moh.gov.sg,100,90,100,70,A,
hardwarezone.com.sg,100,90,100,70,A,
amazon.sg,100,90,100,0,E,
ica.gov.sg,100,90,100,70,A,
a-star.edu.sg,100,90,100,70,A,
mom.gov.sg,100,100,100,100,A+,
www.gov.sg,100,100,100,100,A+,
ibtimes.sg,100,80,100,100,A+,
nlb.gov.sg,100,90,100,30,C,
carousell.sg,100,100,100,100,A+,
nparks.gov.sg,100,90,100,70,A,
mfa.gov.sg,100,90,100,70,A,
shopee.sg,100,100,100,100,A+,
propertyguru.com.sg,100,100,100,100,A+,
agc.gov.sg,100,90,100,70,A,
lazada.sg,100,90,100,0,E,
glassdoor.sg,100,100,100,100,A+,
ebay.com.sg,100,90,100,70,A,
tnp.sg,100,90,100,70,A,
iras.gov.sg,100,100,100,100,A+,
moe.gov.sg,100,90,100,70,A,
eventbrite.sg,100,100,100,100,A+,
gardensbythebay.com.sg,100,90,100,70,A,
nea.gov.sg,100,90,100,70,A,
zaobao.com.sg,100,90,100,0,E,
lta.gov.sg,100,100,100,100,A+,
dbs.com.sg,100,100,100,100,A+,
newport-residences-cdl.com.sg,100,100,100,100,A+,
sbr.com.sg,100,80,100,100,A+,
singstat.gov.sg,100,90,100,70,A,
qoo10.sg,100,100,100,100,A+,
theindependent.sg,100,100,100,100,A+,
fresher.com.sg,100,80,100,100,A+,
edb.gov.sg,100,100,100,100,A+,
imda.gov.sg,100,90,100,70,A,
nhb.gov.sg,100,90,100,70,A,
hdb.gov.sg,100,90,100,70,A,
seedly.sg,100,80,100,100,A+,
jobstreet.com.sg,100,100,100,100,A+,
temasek.com.sg,100,100,100,100,A+,
iseas.edu.sg,100,90,100,70,A,
sentosa.com.sg,100,100,100,100,A+,
monster.com.sg,100,70,100,70,B,
healthhub.sg,100,100,100,100,A+,
enterprisesg.gov.sg,100,100,100,100,A+,
fintechnews.sg,100,100,100,100,A+,
ura.gov.sg,100,90,100,70,A,
mediaonemarketing.com.sg,100,100,100,100,A+,
dollarsandsense.sg,100,80,100,100,A+,
nie.edu.sg,100,100,100,100,A+,
police.gov.sg,100,90,100,70,A,
singsaver.com.sg,100,90,100,70,A,
eatbook.sg,100,80,100,100,A+,
iproperty.com.sg,100,80,100,100,A+,
moneysmart.sg,100,80,100,100,A+,
ceiexam.sg,100,100,100,100,A+,
hsa.gov.sg,100,90,100,70,A,
bca.gov.sg,100,90,100,70,A,
sephora.sg,100,90,100,0,E,
customs.gov.sg,100,100,100,100,A+,
hibrite.sg,100,90,100,0,E,
rsis.edu.sg,100,80,100,100,A+,
m1.com.sg,100,90,100,70,A,
smiletutor.sg,100,100,100,100,A+,
mediacorp.sg,100,100,100,100,A+,
fairprice.com.sg,100,100,100,100,A+,
uob.com.sg,100,90,100,70,A,
8days.sg,100,100,100,100,A+,
vogue.sg,100,80,100,100,A+,
sha.org.sg,100,70,100,70,B,
mti.gov.sg,100,90,100,70,A,
expedia.com.sg,100,100,100,100,A+,
pub.gov.sg,100,90,100,0,E,
gms.sg,100,100,100,100,A+,
tracetogether.gov.sg,100,90,100,70,A,
sp.edu.sg,100,90,100,70,A,
duke-nus.edu.sg,100,100,100,100,A+,
pdpc.gov.sg,100,90,100,0,E,
sistic.com.sg,100,100,100,100,A+,
