Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
google.com.vn,100,80,100,100,A+,
vietnamnet.vn,100,90,100,70,A,
vietnamplus.vn,100,90,100,70,A,
tinhte.vn,100,100,100,100,A+,
tuoitre.vn,100,100,100,100,A+,
shopee.vn,100,70,100,70,B,
thanhnien.vn,100,100,100,100,A+,
vietnamnews.vn,100,90,100,70,A,
ftu.edu.vn,100,80,100,100,A+,
zing.vn,100,90,100,70,A,
dantri.com.vn,100,80,100,100,A+,
baoviet.com.vn,100,70,100,70,B,
archive.vn,100,70,100,70,B,
24h.com.vn,100,100,100,100,A+,
thuvienphapluat.vn,100,70,100,70,B,
dongnai.gov.vn,100,80,100,100,A+,
doctormezo.com.vn,100,100,100,100,A+,
tiki.vn,100,100,100,100,A+,
kenh14.vn,100,100,100,100,A+,
zingnews.vn,100,100,100,100,A+,
tienphong.vn,100,100,100,100,A+,
techrum.vn,100,80,100,100,A+,
vov.vn,100,70,100,70,B,
vtv.vn,100,100,100,100,A+,
lazada.vn,100,70,100,30,D,
nld.com.vn,100,100,100,100,A+,
laodong.vn,100,100,100,100,A+,
daoduytu.edu.vn,100,100,100,100,A+,
cafef.vn,100,100,100,100,A+,
tuoitrenews.vn,100,70,100,70,B,
ptit.edu.vn,100,70,100,0,E,
ntt.edu.vn,100,90,100,70,A,
pyttkvtphcm.gov.vn,100,80,100,100,A+,
vtc.vn,100,100,100,100,A+,
tenten.vn,100,80,100,100,A+,
soha.vn,100,100,100,100,A+,
5giay.vn,100,70,100,70,B,
keyweb.vn,100,90,100,70,A,
mug.vn,100,80,100,100,A+,
tcvn.gov.vn,100,70,100,0,E,
susta.vn,100,100,100,100,A+,
tvu.edu.vn,100,70,100,0,E,
suckhoedoisong.vn,100,100,100,100,A+,
hust.edu.vn,100,100,100,100,A+,
plo.vn,100,100,100,100,A+,
voz.vn,100,80,100,100,A+,
tripadvisor.com.vn,100,100,100,100,A+,
vcss.vn,100,80,100,100,A+,
vieclamcantho.vn,100,90,100,70,A,
thukyluat.vn,100,70,100,70,B,
moh.gov.vn,100,70,100,70,B,
pavietnam.vn,100,100,100,100,A+,
vinahost.vn,100,100,100,100,A+,
luattrongtay.vn,100,90,100,0,E,
afamily.vn,100,100,100,100,A+,
danang.gov.vn,100,70,100,70,B,
vietnamta.vn,100,100,100,100,A+,
eva.vn,100,100,100,100,A+,
lawnet.vn,100,70,100,70,B,
natrumax.com.vn,100,100,100,100,A+,
vir.com.vn,100,70,100,70,B,
dangcongsan.vn,100,70,100,70,B,
trungtamytehoavang.com.vn,100,90,100,0,E,
mofa.gov.vn,100,70,100,70,B,
lamdong.gov.vn,100,90,100,70,A,
nhandan.com.vn,100,100,100,100,A+,
nhandan.vn,100,100,100,100,A+,
tenmien.vn,100,70,100,0,E,
esc.vn,100,90,100,0,E,
baochinhphu.vn,100,100,100,100,A+,
ipic.vn,100,100,100,100,A+,
cty.vn,100,90,100,70,A,
matbao.vn,100,70,100,70,B,
quangtri.gov.vn,100,70,100,70,B,
baodautu.vn,100,80,100,100,A+,
cafebiz.vn,100,100,100,100,A+,
thaoduocquy.vn,100,100,100,100,A+,
tanhoaphat.vn,100,100,100,100,A+,
bitly.com.vn,100,90,100,100,A+,
sggp.org.vn,100,100,100,100,A+,
clinpharm.vn,100,100,100,100,A+,
danviet.vn,100,100,100,100,A+,
hues.vn,100,90,100,70,A,
evolus.vn,100,70,100,70,B,
taimienphi.vn,100,80,100,100,A+,
vietbao.vn,100,70,100,70,B,
ants.vn,100,70,100,70,B,
kingdom.vn,100,100,100,100,A+,
luatvietnam.vn,100,90,100,70,A,
vneconomy.vn,100,70,100,70,B,
dthu.edu.vn,100,70,100,30,D,
hanoimoi.com.vn,100,70,100,70,B,
sendo.vn,100,70,100,70,B,
thesaigontimes.vn,100,100,100,100,A+,
maytapchaybo.com.vn,100,90,100,70,A,
