Domain,TLD
nus.edu.sg,sg
google.com.sg,sg
ntu.edu.sg,sg
businesstimes.com.sg,sg
mas.gov.sg,sg
blogspot.sg,sg
tripadvisor.com.sg,sg
mothership.sg,sg
smu.edu.sg,sg
moh.gov.sg,sg
hardwarezone.com.sg,sg
amazon.sg,sg
ica.gov.sg,sg
a-star.edu.sg,sg
mom.gov.sg,sg
www.gov.sg,sg
ibtimes.sg,sg
nlb.gov.sg,sg
carousell.sg,sg
nparks.gov.sg,sg
mfa.gov.sg,sg
businessinsider.sg,sg
shopee.sg,sg
propertyguru.com.sg,sg
agc.gov.sg,sg
lazada.sg,sg
glassdoor.sg,sg
ebay.com.sg,sg
tnp.sg,sg
sutd.edu.sg,sg
iras.gov.sg,sg
asia1.com.sg,sg
moe.gov.sg,sg
eventbrite.sg,sg
gardensbythebay.com.sg,sg
nea.gov.sg,sg
zaobao.com.sg,sg
lta.gov.sg,sg
dbs.com.sg,sg
newport-residences-cdl.com.sg,sg
sbr.com.sg,sg
singstat.gov.sg,sg
qoo10.sg,sg
theindependent.sg,sg
fresher.com.sg,sg
edb.gov.sg,sg
moe.edu.sg,sg
imda.gov.sg,sg
nhb.gov.sg,sg
hdb.gov.sg,sg
seedly.sg,sg
jobstreet.com.sg,sg
singnet.com.sg,sg
temasek.com.sg,sg
iseas.edu.sg,sg
sentosa.com.sg,sg
monster.com.sg,sg
healthhub.sg,sg
enterprisesg.gov.sg,sg
fintechnews.sg,sg
ura.gov.sg,sg
stb.gov.sg,sg
mediaonemarketing.com.sg,sg
dollarsandsense.sg,sg
nie.edu.sg,sg
police.gov.sg,sg
singsaver.com.sg,sg
eatbook.sg,sg
iproperty.com.sg,sg
moneysmart.sg,sg
ceiexam.sg,sg
hsa.gov.sg,sg
bizexcellence.com.sg,sg
bca.gov.sg,sg
sephora.sg,sg
mindef.gov.sg,sg
customs.gov.sg,sg
hibrite.sg,sg
rsis.edu.sg,sg
lesliechan.com.sg,sg
m1.com.sg,sg
singaporepools.com.sg,sg
smiletutor.sg,sg
mediacorp.sg,sg
fairprice.com.sg,sg
uob.com.sg,sg
pacific.net.sg,sg
8days.sg,sg
vogue.sg,sg
sha.org.sg,sg
healthxchange.sg,sg
mti.gov.sg,sg
expedia.com.sg,sg
pub.gov.sg,sg
gms.sg,sg
tracetogether.gov.sg,sg
sp.edu.sg,sg
duke-nus.edu.sg,sg
pdpc.gov.sg,sg
sistic.com.sg,sg
acra.gov.sg,sg
airbnb.com.sg,sg
expatliving.sg,sg
cpf.gov.sg,sg
mpa.gov.sg,sg
foodpanda.sg,sg
harpersbazaar.com.sg,sg
smrt.com.sg,sg
csa.gov.sg,sg
3ecpa.com.sg,sg
data.gov.sg,sg
pmo.gov.sg,sg
edgeprop.sg,sg
twnside.org.sg,sg
mountelizabeth.com.sg,sg
msf.gov.sg,sg
iprice.sg,sg
